Id,Interface,Depth,Diameter,Angle,ThicknessSkin,ThicknessSct,ThicknessAponeurosis,ThicknessLooseAreolarTissue,ThicknessSkullOuter,ThicknessSkullDiploe,ThicknessSkullInner,ThicknessCsf,ConductivitySkin,ConductivitySct,ConductivityAponeurosis,ConductivityLooseAreolarTissue,ConductivitySkullCortical,ConductivitySkullDiploe,ConductivityCsf,AfPeak
98,INTERFACE,-0.171097,-0.317074,-0.747569,-0.231812,-0.294378,-0.236654,0.0533489,0.0958646,0.176054,-0.179939,-0.330492,0.0973028,0.216863,0.22743,-0.18767,-0.17323,0.32515,-0.28262,681.808
99,INTERFACE,-0.0128371,-0.0766211,-0.168613,-0.292081,-0.302048,-0.12875,1.17995,-0.221174,0.104257,0.33525,0.326557,-0.0666125,0.0672863,-0.054643,-0.055102,0.291657,-0.0121969,0.115876,401.601
100,INTERFACE,-0.0794748,0.141048,-1.42424,-0.276176,0.161812,-0.306816,-0.593135,-0.0139451,-0.273851,-0.168607,-0.0886001,0.132341,-0.104962,-0.191559,-0.318111,0.149266,0.163494,0.176782,247.255
101,INTERFACE,-0.329082,0.181905,0.905463,0.30222,0.0250369,0.213197,-0.0306158,-0.0741914,0.299885,-0.0237338,0.0838326,-0.0492679,0.0896572,-0.0288944,0.242632,0.157158,-0.0684485,0.0147439,252.921
102,INTERFACE,0.195089,0.091348,-1.22974,-0.153454,-0.0840488,0.205129,-0.338219,-0.139544,-0.182927,0.00111892,0.0758635,-0.110579,-0.169479,-0.275775,-0.0544884,-0.223161,0.269807,0.0535159,389.986
103,INTERFACE,-0.228077,0.109075,-0.0830136,0.285511,0.266804,0.324166,1.37603,-0.244718,0.201883,-0.246806,-0.213061,0.263368,-0.10447,-0.213197,-0.308256,0.297532,0.194406,0.0704291,115.457
104,INTERFACE,0.302168,0.139279,-0.960692,-0.233664,0.108286,-0.297625,-0.120822,-0.0420821,0.0403193,-0.109953,-0.0876759,0.158883,0.00363242,-0.21438,0.0451016,0.320118,-0.30214,-0.283779,364.099
105,INTERFACE,0.0615847,-0.06552,-0.743998,0.119548,-0.149634,-0.29081,-0.439675,0.0353076,0.298739,-0.261141,-0.138044,0.0353082,-0.161632,0.0168789,0.319925,-0.30483,-0.072332,-0.0693133,559.368
106,INTERFACE,0.0305103,0.00423066,0.725679,0.20451,0.117519,-0.191893,-1.27976,-0.0787572,-0.0230467,0.0211765,-0.165947,-0.0263038,0.106411,0.145273,-0.0490693,0.0111652,-0.0818886,-0.232659,362.582
107,INTERFACE,-0.310862,-0.22992,1.56584,0.19564,0.141017,0.0886344,0.966579,-0.0146024,0.218578,-0.241986,-0.270311,0.173302,-0.298949,0.288276,-0.245817,0.145607,0.303286,0.32919,164.368
108,INTERFACE,0.237293,-0.0824301,0.536303,-0.0558522,-0.0419759,-0.212665,-1.48932,-0.228426,-0.110127,-0.0420669,-0.0898269,-0.257085,0.310722,0.12469,0.0842585,0.31527,-0.273328,-0.051979,580.106
109,INTERFACE,0.0280451,0.134302,-0.0750058,-0.120307,0.207093,-0.0292409,1.20284,0.155536,-0.0296018,-0.295288,0.313522,0.307599,0.00975732,0.0204877,0.196592,-0.184857,-0.333057,-0.0248072,165.244
110,INTERFACE,-0.121429,0.207428,1.28319,-0.241907,-0.137982,-0.227741,-1.12115,-0.239872,0.286071,0.0846468,-0.0369976,0.25995,0.214748,-0.0279476,-0.0440141,0.13321,0.00680361,-0.266726,423.996
111,INTERFACE,-0.193409,-0.267201,0.545809,-0.106459,-0.0320021,-0.134634,-0.660546,0.306549,0.00429525,0.330171,-0.327839,-0.239907,-0.12552,0.0784194,0.231755,-0.000989929,-0.0892975,-0.261279,490.207
112,INTERFACE,-0.318806,-0.161416,0.0389863,-0.263283,-0.254029,-0.121016,0.148493,0.0187787,0.242065,-0.164534,0.151599,0.219211,0.0450161,0.156727,0.208451,-0.219114,-0.110215,0.314071,341.609
113,INTERFACE,-0.278301,-0.126244,-0.527589,-0.0789671,-0.211682,0.252201,0.110197,-0.0190408,-0.0109434,0.270245,-0.00990998,0.019545,0.303809,0.0190597,0.0627856,-0.308347,-0.0417347,0.0918465,229.726
