%eval_id interface RELDEPTH       DIAMETER       POSITION       ANGLE          ELECTRELDEPTH  THICKNESS_SKIN THICKNESS_SCT  THICKNESS_APONEUROSIS THICKNESS_LOOSE_AREOLAR_TISSUE THICKNESS_SKULL_OUTER THICKNESS_SKULL_DIPLOE THICKNESS_SKULL_INNER THICKNESS_CSF  CONDUCTIVITY_SKIN CONDUCTIVITY_SCT CONDUCTIVITY_APONEUROSIS CONDUCTIVITY_LOOSE_AREOLAR_TISSUE CONDUCTIVITY_SKULL_CORTICAL CONDUCTIVITY_SKULL_DIPLOE CONDUCTIVITY_CSF AFmax_4um      GAFmax_4um     
29       INTERFACE  0.8136122052   0.5941691904   -5.641056261   29.13875856    0.2958322775   0.3044770746   1.342376366    0.41338825     1.411130995    2.003196609    3.775926832    0.2096578942   4.354964844    0.0923718907   0.1000851052   0.03474846991  0.1088396994   0.010299173    0.2773787748   1.91495704     146.2109142    16.46400835    
30       INTERFACE  0.3597769382   0.5262523382   2.132496958    63.61553511    0.8456306646   0.2101652291   1.671522126    0.1642073399   1.256711901    2.771371583    1.701103054    2.486187059    4.747450188    0.1985232774   0.3316700595   0.09674032544  0.01619213753  0.003529581323 0.2604293193   0.05723532824  9.679698599    2.006509288    
31       INTERFACE  0.06143939214  0.2046299084   -14.76346516   54.23630211    0.335377081    0.2569360326   0.1582090179   0.2715029152   0.4752312159   1.256414978    2.266743936    1.123724355    2.990335735    0.207200921    0.3108830911   0.1359525867   0.1387295628   0.002459750334 0.02226589556  1.823226397    1142.507155    25.72566741    
32       INTERFACE  0.1602693999   0.2287848564   17.22640066    26.59690726    0.9628934351   0.2971736183   0.6518420704   0.2602605696   1.591584764    0.9752595317   3.213770763    1.435935732    4.073550437    0.1903387967   0.2563616408   0.07990627129  0.01364364003  0.001676032365 0.2611857125   1.52815895     104.7353087    29.01639229    
33       INTERFACE  0.9959232719   0.644173995    3.656915766    75.39174869    0.6962195394   0.2240777447   1.520664436    0.5282536125   0.6720159535   0.4936989069   2.362770587    1.204161829    2.701952309    0.1174218182   0.04964023643  0.04447424512  0.06929961638  0.005044880796 0.09031674371  2.649186621    40.70704887    4.099136144    
34       INTERFACE  0.7538443915   0.8937805844   6.268790759    16.46151491    0.7066735736   0.4461163322   0.1509102805   0.4324088145   0.5177176686   0.6480525707   2.018115717    2.31960259     3.912543587    0.04875370211  0.2456940881   0.0518163259   0.04765655685  0.01187758193  0.04757426747  2.58339047     208.192139     49.45977741    
35       INTERFACE  0.4137150614   0.55238793     -15.93775171   53.52800077    0.5447006031   0.2325131605   0.3086567971   0.2587277893   1.554326015    2.670838129    1.482013459    1.185082386    4.316252593    0.05975770555  0.3421191437   0.1163613915   0.03615651551  0.005196010927 0.4501854857   3.370484118    548.0940132    20.67344762    
36       INTERFACE  0.8241412447   0.1303671163   -13.53050521   65.34349937    0.5836697737   0.2920697112   0.4288057535   0.506733835    1.450221492    2.447214437    1.418894742    0.6206773113   4.869601957    0.1130576477   0.1056838738   0.04576923442  0.1026118777   0.01165471347  0.2474166113   0.8906090331   547.8236223    16.82821353    
37       INTERFACE  0.08729617349  0.4600060469   -11.15460208   89.54372585    0.8126091672   0.2030455119   1.799437082    0.4700796721   0.2894850181   0.3586707107   4.094600673    0.4613701798   4.780317636    0.2310665999   0.08881289299  0.1012328549   0.09249267719  0.003795805441 0.4594649605   2.907994059    335.3434371    10.33548421    
38       INTERFACE  0.878810739    0.5736772013   -7.340070664   44.26740929    0.1526947602   0.6661383114   0.7583021628   0.1526216075   1.692569933    1.068326442    3.494975778    0.4795301476   2.180528296    0.2442094708   0.1308431703   0.1165752874   0.06518646825  0.009145486075 0.04294408625  2.049372832    144.5297885    10.64505195    
39       INTERFACE  0.5701150752   0.1163797756   15.45058003    4.46488194     0.2520183934   0.3795040356   1.459763918    0.4310771888   1.065915667    1.702773201    1.695604757    0.1633688813   4.524928719    0.1481838875   0.3352177179   0.1296196092   0.02517653992  0.01295919002  0.4418118779   2.067143546    106.7691182    10.93755726    
40       INTERFACE  0.5205387175   0.704508952    6.217583003    29.80379533    0.7416411348   0.7786574411   1.647496257    0.447950015    0.3017634766   2.201261102    3.252393745    1.114463189    4.718667997    0.1345385903   0.1379170513   0.09901218128  0.01719898676  0.001242320469 0.4446710735   1.890103283    72.77040757    15.69105264    
41       INTERFACE  0.6132124872   0.4159963843   -19.06834603   33.27171008    0.9266126944   0.6732668505   0.6890061439   0.1236383962   0.4779578787   0.8247859951   3.6436917      2.414435667    4.660560765    0.05806620585  0.249130578    0.08843841042  0.06277895648  0.009819875986 0.1969664766   2.985766138    493.4868172    17.58079999    
42       INTERFACE  0.651772273    0.5649889159   10.88076785    74.26718686    0.9044157897   0.2826173592   1.118319905    0.203560704    0.4666047746   0.3794383654   3.559034329    0.1715582367   5.063608788    0.1726643232   0.2505001871   0.04208882726  0.08235417329  0.005405378675 0.2950569798   1.72941508     108.5384148    10.98570883    
43       INTERFACE  0.8594401948   0.495024645    -15.8904685    45.6016112     0.8650950131   0.2056936631   0.4143923617   0.2991977329   1.238348636    0.8783896073   1.43631757     2.900952805    4.061653783    0.02299074803  0.1342435421   0.08267570571  0.077863413    0.00817782021  0.1413226843   1.606708881    467.3764658    16.6810969     
44       INTERFACE  0.8062280751   0.373641874    2.678682198    87.32260471    0.5045766307   0.7344751902   1.352133007    0.1079804496   1.504035718    2.284869498    3.799352204    1.065098041    4.383317199    0.02208766015  0.07309399521  0.1137088396   0.1146777525   0.003020256737 0.3653888327   1.507435872    101.9755586    3.154375709    
